B01REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B07A;B12;B16T;B26;E01A;E01B;E01C;E01H;ED01;ED02;ED03;ED0504;ED06C;ED08;ED10;e01aimde;e01hde;pobrezai;pobnopoi
4;12;12;12;12;0;12;12;2;2;2300000;1;2300000;0;0;0;2;1;1;903; ;19;2;2310840,534;0;3;0
5;8;0;5;8;8;8;8;4;2;2500000;3;2500000;0;0;0;3;1;1;606; ;19;1;2511783,189;0;3;0
3;0;6;6;6;6;6;0;10;1;3500000;1;3500000;0;0;0;2;1;1;2404;14;19;3;3448767,334;0;3;0
5;8;8;8;8;8;8;0;3;6;1000000;4;1000000;0;0;0;2;1;1;903; ;19;3;985362,096;0;3;0
2;0;0;0;0;0;0;0;18;2;5000000;1;5000000;0;0;0;2;1;1;2405;1;19;5;4926810,478;0;3;0
3;8;0;0;9;8;8;8;0;1;4800000;1;4800000;0;0;0;3;1;1;2405;14;19;18;4807517,619;0;3;0
3;6;0;0;6;6;6;6;3;1;3800000;1;3800000;0;0;0;3;1;1;2404;14;19;18;3805951,449;0;3;0
5;10;0;10;10;10;10;0;5;2;5000000;1;5000000;0;0;0;3;1;1;2405;1;19;14;5007830,854;0;3;0
2;8;0;0;8;8;8;8;12;1;10000000;1;10000000;0;0;0;3;1;1;2405;10;19;5;10015661,71;0;3;0
2;8;0;0;8;8;8;8;27;1;6000000;1;6000000;0;0;0;3;1;1;2405;10;19;5;6009397,024;0;3;0
4;9;0;0;9;9;9;9;5;2;1600000;4;1600000;0;0;0;2;1;1;901; ;19;15;1602505,873;0;3;0
9;6;0;0;6;6;6;0;2;2;1300000;3;1600000;1400000;0;0;3;1;1;2404;1;19;2;1602505,873;0;3;0
3;8;8;8;0;0;8;8;10;2;2400000;1;2800000;0;0;0;3;1;1;2404;1;19;2;2778277,735;0;3;0
5;0;15;15;15;15;15;15;14;2;2800000;3;3320000;0;0;0;3;1;1;903; ;19;2;3294243,6;0;3;0
2;8;0;0;8;8;8;8;2;2;2600000;1;2600000;0;0;0;3;1;1;2405;1;19;2;2600000;0;3;0
1;8;0;0;8;8;8;8;20;2;4000000;1;4000000;0;0;0;3;1;1;2404;1;19;2;4000000;0;3;0
3;8;0;0;8;8;8;8;10;1;5000000;1;5000000;0;0;0;3;1;1;2404;1;19;2;5000000;0;3;0
5;10;10;10;10;10;0;10;2;2;2300000;1;2300000;0;0;0;2;1;1;306; ;19;1;2300000;0;3;0
5;9;0;5;9;9;9;9;0;2;2300000;1;2300000;0;0;0;2;1;1;903; ;19;2;2300000;0;3;0
4;9;0;0;9;9;9;9;8;2;3000000;1;3000000;0;0;0;2;1;1;903; ;19;2;3000000;0;3;0
3;9;0;0;9;9;9;9;1;2;3100000;1;3100000;600000;0;0;2;1;1;2003;7;19;2;3100000;0;3;0
3;8;8;0;0;8;8;8;20;1;3000000;1;3000000;500000;0;0;3;1;1;2003;7;19;2;3000000;0;3;0
1;8;8;0;8;8;8;8;2;2;5400000;1;6000000;0;0;0;3;1;1;2403;14;19;2;6000000;0;3;0
4;8;8;0;0;8;8;8;4;2;2320000;1;2320000;0;0;0;3;1;1;2403;14;19;2;2320000;0;3;0
4;8;8;8;8;8;8;0;0;2;3000000;3;3520000;0;0;0;3;1;1;2404;1;19;1;3520000;0;3;0
3;8;8;0;0;8;8;8;8;2;4000000;1;4360000;0;0;0;3;1;1;903; ;19;1;4360000;0;3;0
2;6;6;0;0;6;6;6;3;1;2500000;2;2500000;0;0;0;3;1;1;2405;10;19;2;2500000;0;3;0
4;10;10;10;10;0;10;10;5;2;2300000;1;2300000;0;0;0;3;1;1;903; ;19;2;2300000;0;3;0
1;8;8;0;0;8;8;8;8;2;7000000;1;12000000;0;0;0;3;1;1;2405;1;19;2;12000000;0;3;0
